飞周兄弟 | 还不认亲？ | Region | hate [END]
同性恋 | 很巧妙的在任何讨论和争执中把自己伪装成一个受害者的形象 | LGBTQ | hate [SEP] 同性恋 | 借同性恋与主流不符的这个特性，在天性喜爱叛逆的未成年人群体中大肆宣扬，潜移默化的改变正常未成年人对性的认知，让未成年人认为同性恋是酷的，很帅气的，很另类的 | LGBTQ | hate [END]
她们 | 支持谁呢？ | non-hate | non-hate [END]
女人 | 大脑感性部位发达 | Sexism | hate [SEP] 女人 | 比较好忽悠 | Sexism | hate [END]
男同 | 超 | LGBTQ | hate [END]
龟男 | 不努力 | Sexism | hate [END]
黑人 | 又笨，遇到战斗先投降 | Racism | hate [END]
既得利益者 | 笑死我了 | non-hate | non-hate [SEP] 底层打工人 | 过得还不如卖啤的女的 | non-hate | non-hate [END]
中国女拳友 | 脑子不好使 | Sexism | hate [END]
河南朋友 | 挺好的 | non-hate | non-hate [END]
他 | 阴阳怪气说我们 | non-hate | non-hate [END]
有些人 | 来上海要来的 | Region | hate [SEP] 上海 | 打压上海文化（比如方言） | Region | hate [END]
自然选择 | 点赞 | non-hate | non-hate [END]
母钩 | 已经举报加爆杀 | Sexism | hate [END]
南京 | 环境方面是不行 | non-hate | non-hate [END]
小黑奴 | 一万多一个 | Racism | hate [END]
你评论区的 | 经典装理客中装不下去了就开始破口大骂了 | Sexism | hate [END]
这种手术 | 正规大医院一般不做 | non-hate | non-hate [END]
我 | 不支持男女平等 | non-hate | non-hate [END]
你 | 去帮你的嘿嘿打工吧 | non-hate | non-hate [END]
一件事 | 深入人心是不必要宣传的 | non-hate | non-hate [SEP] 央视 | 会说不要歧视感冒患者么😆 | non-hate | non-hate [END]
你 | 自己不控制自己，还怕别人传病你？ | others | hate [END]
同性恋 | 可以和异性结婚并不能说明他们喜欢异性，更说明不了同性恋是能改变的 | non-hate | non-hate [END]
非洲 | 滚去非洲 | Region | hate [END]
大家 | 怎么看 | non-hate | non-hate [END]
黑人 | 智商平均水平偏低 | Racism | hate [SEP] 黑色的皮肤 | 不受人喜欢 | Racism | hate [END]
现代女生 | 接受教育进入职场工作了 | non-hate | non-hate [END]
基佬 | 怎么骂基佬我也不生气 | LGBTQ | hate [END]
河南人 | 被黑 | Region | hate [END]
他们 | 歧视一切外地人 | Region | hate [SEP] 外地的 | 亲朋好友们都会鄙视得不行 | Region | hate [END]
山东 | 天天给我推黑山东的 | Region | hate [END]
有过-同居史-的-女孩 | 能-娶-吗？ | Sexism, others | hate [END]
上海好南京多 | 歧视安徽人 | Region | hate [END]
女性 | 择偶标准都是“三无四有”了 | Sexism | hate [END]
她 | 乱吠 | non-hate | non-hate [END]
姆蛆 | 引流 | Sexism | hate [END]
传统地域歧视地区 | 歧视 | Region | hate [END]
上海 | 歧视外地人是普遍存在 | Region | hate [END]
默妖 | 尽灭 | Racism | hate [END]
安徽的 | 背地里要被冷嘲热讽死 | Region | hate [END]
你 | 三观真的有毒 | non-hate | non-hate [END]
北方 | 人上人 | Region | hate [END]
非洲 | 引进的“高材生” | non-hate | non-hate [END]
尊重女性 | 资本主义的骗局，也是西方文化的糟粕 | Sexism, Region | hate [SEP] 任何提尊重女性的 | 不尊重男性 | Sexism | hate [END]
北欧 | 在性少数上做的相对比米国较好罢了 | non-hate | non-hate [END]
我们东北人 | 在前面顶着 | non-hate | non-hate [END]
黑人 | 讨厌 | Racism | hate [SEP] 黑人 | 远离黑人、远离性病艾滋 | Racism | hate [END]
非洲 | 要的就是根本就回不来 | Region | hate [END]
中国男人 | 媚外世界第一 | Sexism, Racism | hate [SEP] 国女 | 第一世界优秀 | Sexism, Racism | hate [SEP] 国女 | 被权威组织点名媚外 | Sexism, Racism | hate [END]
杂交的 | 不如纯种的好 | Racism | hate [END]
嘿蛆族 | J生虫 | Racism | hate [END]
浙江 | 为什么黑浙江啊 | Region | hate [END]
你 | 还是去上学吧😅 | non-hate | non-hate [END]
非洲人 | 全世界祖宗 | Racism | hate [SEP] 你荷兰 | 什么名声自己心里没点数 | Region | hate [END]
学校 | 承担相应的后果 | non-hate | non-hate [END]
女人 | 如果嫁到外国人小孩不能在中国读公立学校只能在外国人的私人学校读书 | Sexism, Racism | hate [END]
F省 | 应该读作H省 | non-hate | non-hate [END]
黑杂 | 在抖音拍南京大屠杀纪念日 | Racism | hate [END]
妹子 | 有钱哪里的妹子都喜欢你 | non-hate | non-hate [END]
塔利班 | 人家塔利班有飞机大炮 | non-hate | non-hate [END]
劣信女 | 傻卵劣信女别理它们 | Sexism | hate [END]
黑人 | 天王老子来了👴🏻也歧视黑人 | Racism | hate [END]
和老外有过交往的 | 我从心里嫌弃 | Racism | hate [END]
江浙沪 | 嫉妒 | Region | hate [END]
东北 | 知乎地域黑大v最多的地方 | Region | hate [END]
种植园 | 可以试试送去种植园工作 | Racism | hate [END]
河南人 | 我见过的河南人都这样 | non-hate | non-hate [END]
外星优质男人 | 为什么不找外星优质男人呢，人家有太空战舰呢 | non-hate | non-hate [END]
一个群体 | 主观憎恨 | non-hate | non-hate [END]
孙 | 那里老哥骂得比较好听 | Sexism | hate [END]
你 | 早点蛆丝 | Sexism | hate [END]
河南 | 中原文明/华夏文明的起源地 | non-hate | non-hate [END]
一些人 | 觉得自己是同性恋就可以高人一等了 | LGBTQ | hate [END]
上海 | 排外排的是中国人 | Region | hate [END]
你 | 可不想看见后一代是黄黑人种 | Racism | hate [END]
基佬 | 杀光一切基佬 | LGBTQ | hate [END]
湖女省的司法机关 | 真不好说钕拳之都 | Region, Sexism | hate [END]
黑人 | 绝不接受 | Racism | hate [END]
你 | 高贵的殖蝻 | others | hate [END]
黑人 | 不喜欢黑人是正常的 | Racism | hate [SEP] 黑人 | 中国不欠黑人什么 | Racism | hate [SEP] 黑人 | 排斥黑人 | Racism | hate [END]
男权主义 | 知乎唯一让人讨厌的大概就是男权主义太重吧！ | Sexism | hate [END]
同性恋里的败类 | 人们对同性恋不好的印象几乎都是这些人搞得 | LGBTQ | hate [END]
黑人和对它们有好感的easygirl | 歧视 | Racism | hate [END]
中国人 | 在非洲也生了很多蛋留下了 | Region | hate [SEP] 三非的矛盾 | 怎么会是种族矛盾？明明是个违法问题，按法律处置 | Racism | hate [END]
陕西的专业黑子 | 有病 | Region | hate [END]
非处女 | 坦白性史 | Sexism | hate [END]
你 | 道德绑架也太厉害了 | non-hate | non-hate [END]
东北人 | 完全销声匿迹了 | non-hate | non-hate [END]
小氙钕 | 支持 | non-hate | non-hate [END]
同性恋 | 侵犯你啥了？ | LGBTQ | hate [SEP] 拉黑 | 不送 | Racism | hate [END]
你 | 女的 | Sexism | hate [END]
广东 | 你把广东放在什么地方了 | non-hate | non-hate [END]
山东 | 完美契合 | non-hate | non-hate [END]
喷神的回答 | 哪里批判了？ | non-hate | non-hate [END]
人家 | 独立自主和你有什么关系 | non-hate | non-hate [END]
她们 | 艾滋病率远超失足妇女，会要人亲命 | Sexism, others | hate [END]
同性恋 | 先天的？？ | non-hate | non-hate [END]
富人 | 那么舔的么 | non-hate | non-hate [END]
车、房、彩礼 | 一棍子打死 | non-hate | non-hate [END]
魔怔人 | 不准魔怔人出现在我帖子里 | non-hate | non-hate [END]
学伴 | 慰安妇 | Sexism | hate [END]
他 | 胡说八道，挑拨离间 | non-hate | non-hate [END]
女人 | 过的就是比我们男人要轻松 | Sexism | hate [END]
男人 | 不坏 | non-hate | non-hate [END]
这些人 | 能力如何 | non-hate | non-hate [END]
智力 | 与反同性恋的偏见之间存在很高的相关性 | LGBTQ | hate [END]
黑 | 反黑 | Racism | hate [END]
txl | 必死 | LGBTQ | hate [END]
你 | 可以取消“粉丝”啊 | non-hate | non-hate [END]
我 | 种族内个歧视了🐶帽子我自己带好 | Racism | hate [END]
黑蛆 | 机会生存 | Racism | hate [END]
你所说的那一部分 | 没有见到 | non-hate | non-hate [SEP] 男性朋友 | 一门心思娶外国女人 | Sexism, Racism | hate [END]
你 | 是哪里人？ | non-hate | non-hate [END]
男的 | 比女的多几千万 | Sexism | hate [SEP] 光棍 | 找外国女人 | Sexism, Racism | hate [END]
在东北上学的人 | 一部分人，直球直起来很离谱，很自私 | Region | hate [END]
证据链 | 不完整 | non-hate | non-hate [END]
很多男的 | 对同志无感 | non-hate | non-hate [SEP] 同 | 很奇怪，为啥会有男的要给他k🤔，神经病么 | LGBTQ | hate [END]
喷神 | 有点种族歧视 | Racism | hate [END]
上海 | 声名一直就不好 | Region | hate [END]
黑人 | 至少比你强多了 | Racism | hate [END]
奥巴马 | 黑犹混血，并不是真正的黑人 | Racism | hate [END]
老爸 | 为什么如此骂自己的老爸 | non-hate | non-hate [END]
厦门 | 被地域黑最严重的地方之一 | Region | hate [END]
你 | 把出差一夜情当恋爱玩呢？ | non-hate | non-hate [END]
姆人 | 每天都要找理由骂她一顿 | Sexism | hate [END]
白左 | 虚伪 | Racism | hate [END]
黑人 | 体味有点作呕 | Racism | hate [SEP] 黑人 | 男的体味酸酸馊馊的 | Racism | hate [END]
同性恋 | 先天得来的东西 | non-hate | non-hate [END]
您 | 高傲的挑衅全体人民的行为可真是让人始料未及 | non-hate | non-hate [END]
吧友 | 反对自己后代的基因被染黑 | Racism | hate [END]
非洲源头奥密克戎变异株Ba.5 | 已传至陕西省西安市 | non-hate | non-hate [END]
黑种人 | 可比黑种好看多了🤔 | Racism | hate [END]
女权 | 女人没有了束缚后释放本性的模样 | Sexism | hate [SEP] 男人 | 没了束缚那就是黑哥哥模式了 | Sexism | hate [END]
上男人车 | 提供吹吹服务 | Sexism | hate [END]
黑人 | 有中秋节吗？ | non-hate | non-hate [END]
夹你 | 集体跪虫族给集体举报给永久封号 | Racism | hate [END]
你 | 管这叫日常 | non-hate | non-hate [END]
女生 | 谈恋爱不在朋友圈公开女生会介意的吧 | non-hate | non-hate [END]
上海 | 唯一一个本地人在本地说本地话，要被说排外的城市 | Region | hate [END]
卫辉官媒 | 黑山东 | Region | hate [END]
浙江人 | 在全世界被歧视 集体驱逐不是新闻 | Region | hate [END]
生黑孩的女人 | ！！！ | Sexism, Racism | hate [END]
你 | 假黑 | non-hate | non-hate [END]
东北 | 天天念叨一枪不放丢东北的 | Region | hate [END]
媚默女 | 建立个媚默女的档案库 | Sexism, Racism | hate [END]
好看的 | 一般女的都嫉妒 | Sexism | hate [END]
江西人 | 自吹自擂 | Region | hate [END]
你 | 太小看美颜了 | non-hate | non-hate [END]
代言人 | 逆着受众群体选 | non-hate | non-hate [END]
黑人 | 没有大量贩卖到法国葡萄牙 | non-hate | non-hate [END]
黑人 | 不是中国的一部分 | non-hate | non-hate [END]
劣信幕刃 | 真下头 | Sexism | hate [END]
亚裔 | 不会反抗，也不团结 | non-hate | non-hate [END]
上海土著 | 反对歧视外地人 | non-hate | non-hate [END]
河南 | 有人黑 | Region | hate [END]
东北人 | 一开口就能比较明显的听出来 | non-hate | non-hate [END]
外国黑人 | 通过和中国女的结婚繁殖混血黑二代殖民中国 | Racism | hate [END]
河南 | 官方认证 | non-hate | non-hate [END]
黑人 | 除了特别优秀的黑人，如奥巴马之流，其余的都不行啊 | Racism | hate [END]
艾滋病 | 现在艾滋病的传播异性恋可是占主流呢 | others | hate [END]
上海 | 笑而不语 | non-hate | non-hate [END]
同性恋 | 拉低我对同性恋的好感 | LGBTQ | hate [END]
黑人 | 犯罪率极高 | Racism | hate [END]
河童 | 别把河童的图片放上来 | Racism | hate [END]
你 | 去撒哈拉以南待两年就不会说这种话了 | non-hate | non-hate [END]
我们这里 | 不管男的女的，如果不结婚就不能上族谱 | non-hate | non-hate [END]
田园女权 | 粪坑里找💩臭死了 | Sexism | hate [END]
男性 | 无法接受 | non-hate | non-hate [END]
田园女拳 | 有滥交的自由 | Sexism | hate [END]
大部分女性 | 不都说要求不婚检吗 | Sexism | hate [END]
你这样人的人 | 讨厌 | non-hate | non-hate [END]
抖音 | 真的可以 | non-hate | non-hate [END]
缅甸老挝留学生 | 穿长裙 | non-hate | non-hate [END]
娶媳妇 | 没用的关键是大小不然会被绿当老实人接盘侠 | Sexism, Racism | hate [END]
同性恋 | 万一弯了可咋办 | LGBTQ | hate [END]
这主播 | 也是个fw | non-hate | non-hate [END]
NULL | 想找个 | non-hate | non-hate [END]
黑老美 | 如果黑老美骂老美能把老美搞成非洲，那才是真成功！ | Racism | hate [END]
杭州人 | 那个跳 | Region | hate [END]
老一辈 | 排外表现明显 | Region | hate [END]
你 | 上蹿下跳 | non-hate | non-hate [END]
美国黑人 | 不缺少教育资源 | non-hate | non-hate [END]
老一辈的人 | 很多排外的 | non-hate | non-hate [SEP] 年轻人 | 好点了 | non-hate | non-hate [END]
雄性基因 | 排外 | Sexism, Racism | hate [SEP] 雌性基因 | 择优 | Sexism | hate [SEP] 黑人 | 不必去骂 | Racism | hate [SEP] 黑人 | 排黑的 | Racism | hate [END]
我 | 河南籍新疆人 | non-hate | non-hate [END]
三民主义 | 有民族主义 | non-hate | non-hate [END]
你们 | 遭人唾弃 | non-hate | non-hate [END]
老实人 | 对勤勤恳恳辛苦工作的老实人最大的恶意 | others | hate [SEP] 女方 | lkd，艾疣梅事都可能上门 | Sexism, others | hate [END]
黑龙江人 | 唱衰东北的急先锋 | Region | hate [SEP] 辽宁人 | 在跟南大人据理力争 | Region | hate [END]
黑人 | 灭绝 | Racism | hate [END]
对方 | 来对线争论 | non-hate | non-hate [END]
这地方 | 在全国是出了名的 | non-hate | non-hate [END]
撑同弱智 | 我不会选 | LGBTQ | hate [END]
女人 | 都是***么 | Sexism | hate [END]
国女 | 愿意倒贴外国人🐶 | Sexism, Racism | hate [END]
广西人 | 表示你们都别跟我们抢了好不好？ | non-hate | non-hate [END]
极端 | 一身艾滋+X病 | others | hate [END]
每个男人 | 在高龄光棍前绝不会以为内卷的会是自己 | non-hate | non-hate [SEP] 这些女人 | 会找年龄一大把的老男人吗？ | non-hate | non-hate [END]
阿娜 | 想给阿娜上坟捏 | Sexism | hate [END]
黑人 | 不要害人 | Racism, others | hate [END]
姆蛆 | 找到 | Sexism | hate [END]
形式 | 严峻 | non-hate | non-hate [END]
吸血虫 | 花钱去讨好一个依附你的吸血虫？ | non-hate | non-hate [END]
同性恋 | 恶心 | LGBTQ | hate [SEP] 异性恋 | 恶心 | LGBTQ | hate [END]
提问者 | 尊重提问者说的话 | non-hate | non-hate [END]
女人 | 只需要征服男人就可以享受一切成果 | Sexism | hate [SEP] 小男人 | 比女人还轻松快乐 | Sexism | hate [END]
哥布林和各种超级病毒 | 拒绝 | Racism | hate [END]
男同 | 骗婚 | LGBTQ | hate [END]
广西人 | 飘过 | non-hate | non-hate [END]
人家 | 不会跪着安排豪华宿舍、美女学伴、高额奖金😅 | non-hate | non-hate [END]
女司机 | 肇事车主是女司机 | Sexism | hate [END]
非洲 | 贫乏 | Region | hate [END]
基佬 | 被碰一下直接发廊 | LGBTQ | hate [END]
地域黑 | 怎么也避免不了 | non-hate | non-hate [END]
河南小姐姐 | 人可好了~ | non-hate | non-hate [END]
蛆 | 畸形 | Racism | hate [END]
他 | 心理上的女性生理上的男性 | LGBTQ | hate [SEP] 他 | 同性恋 | LGBTQ | hate [END]
国男 | 甚至结婚了你还会被甩😄 | Sexism | hate [END]
搞地域歧视的 | 非蠢即坏 | Region | hate [END]
我 | 河北滴 | non-hate | non-hate [END]
东北人 | 把东北人所作所为如实说出来 | non-hate | non-hate [END]
浙江 | 心寒 | Region | hate [SEP] 某些sb | 代表 | Region | hate [END]
基佬 | 被基佬删了 | LGBTQ | hate [END]
猩猩 | 这些都是猩猩 | Racism | hate [END]
女人的钱 | 好赚 | Sexism | hate [SEP] 月收过万月支出500的穷人 | 先路过一下 | others | hate [END]
黑人 | 对黑人无感 | Racism | hate [SEP] 白净的 | 不香吗 | Racism | hate [END]
女的 | 用人单位，更加不敢招女的 | Sexism | hate [END]
男人 | 应该加强对男人的生命安全保护才对 | non-hate | non-hate [END]
美国内战 | 阴云 | non-hate | non-hate [END]
基佬 | 人面兽心 | LGBTQ | hate [END]
没有哪个省的人 | 是应该被黑的 | non-hate | non-hate [END]
我 | 希望自己有独当一面的能力 | non-hate | non-hate [END]
东北 | 以前原本就喜欢地域黑啊 | Region | hate [END]
吧友 | 能挖出更深层次的答案 | non-hate | non-hate [END]
我们 | 流氓 | LGBTQ | hate [SEP] 我们 | gay、xing冷淡 | LGBTQ | hate [END]
那个屌逼 | ** | non-hate | non-hate [END]
陕西人 | 看不起附近几个省份 | Region | hate [END]
女权吧 | 活了不到五分钟就被删帖了 | non-hate | non-hate [END]
你 | 快去自**吧 | non-hate | non-hate [END]
炼铜txl | 能不能④ | Sexism, Racism | hate [END]
幕刃 | 远离 | Sexism | hate [END]
王心凌 | 多好看 | non-hate | non-hate [END]
女性 | 接受高等教育比例超过男性 | non-hate | non-hate [END]
东北人 | 喷过扬州三屠和南京大屠杀是我们活该😅 | Region | hate [END]
你们 | 男的花钱 | Sexism | hate [END]
他们 | 要求中国变成什么样？ | non-hate | non-hate [END]
某北 | 与天下为敌 | Region | hate [END]
你们 | 地域黑输出主力军 | Region | hate [END]
女权主义者 | 不会忏悔 | Sexism | hate [END]
人 | 从出生就被异性恋宣传 | non-hate | non-hate [END]
男拳语录 | 黑大人发明的🤣 | Racism | hate [END]
东北和四川 | 中国抗日时期特么最恨日本 | non-hate | non-hate [END]
他 | 天天钓鱼 | non-hate | non-hate [END]
她们 | 社死了 | non-hate | non-hate [END]
抖友 | 有的时候还真能处 | non-hate | non-hate [END]
女性 | 对文明的推动几乎没有一点贡献 | Sexism | hate [SEP] 女性 | 如果女性仍旧对现在自身的地位不满，那女性的末日就会很快来到！ | Sexism | hate [END]
烂货 | 喝酒抽烟出轨，乱搞男女关系 | Sexism | hate [END]
你这个喃蛮 | 编的故事挺好的 | non-hate | non-hate [END]
普通大学 | 也这样搞？ | non-hate | non-hate [END]
我 | 也是去读书的😓 | non-hate | non-hate [END]
上海 | 被地域黑最严重 | Region | hate [END]
上海市区人 | 歧视市区以外的人（包括上海郊区） | Region | hate [END]
农业大省 | 经济不太发达 | non-hate | non-hate [END]
幕刃 | 打弟弟要趁早 | Sexism | hate [END]
视频 | 好视频，有教育意义 | non-hate | non-hate [END]
黑龙江 | 男的不帅还太热衷艺考 | Region, Sexism | hate [END]
骂你的那个东北人 | 谢谢 | non-hate | non-hate [END]
有些垃圾 | 恶心 | non-hate | non-hate [END]
真正聪明的男人 | 已经留下了种子还不用负责 | Sexism | hate [END]
跟黑人女性结婚的中国男性 | 应该去非洲吗 | Racism | hate [END]
黑人 | 女生都多多少少有点歧视黑人 | Sexism, Racism | hate [END]
中国 | 引进那么多 | non-hate | non-hate [END]
牠们 | 算人吗 | non-hate | non-hate [END]
男友 | 如何查男友手机，如何判断男友是否是处 | Sexism | hate [END]
中央台 | 一直被北京人和东北人霸占着来黑南方人 | Region | hate [END]
非洲黑人 | 如果经历过璀璨的文明的话，不至于落到现在的境地 | Racism | hate [END]
这种脑残 | 大学孝长的坐上宾 | non-hate | non-hate [END]
南桐 | 吐了 | Region | hate [END]
热情好客 | 不代表可以反客为主 | non-hate | non-hate [END]
之前的反默老哥 | 都转抖音了吗？ | Racism | hate [END]
你爸 | 哪里得罪了你 | non-hate | non-hate [END]
南方 | 分为东南和西南 | non-hate | non-hate [END]
黑人 | 要求政治权力 | Racism | hate [END]
小红书 | 狗汉奸带的 | others | hate [END]
南方人娘娘腔 | 春晚喜欢黑 | Region | hate [END]
吾 | 物种骑士 | non-hate | non-hate [END]
哥 | 直的狠😆 | non-hate | non-hate [END]
死肥猪 | 去死啊 | non-hate | non-hate [END]
诈骗犯 | 给彩礼也不嫁 | Sexism | hate [END]
它 | 只有大量繁殖才能保证种族延续 | Racism | hate [SEP] 世界乞丐 | 不是吹的 | Racism | hate [END]
同性恋 | 过激 | LGBTQ | hate [SEP] 异性恋 | 如果回怼一些来自同性恋的攻击性言论，评论就基本全是认为异性恋这么做没错 | LGBTQ | hate [END]
他 | 老私信追着我骂 | non-hate | non-hate [END]
你 | 离开国家你什么都不是 | non-hate | non-hate [END]
我们 | 文明人 | non-hate | non-hate [END]
牠 | 不一定是亻 | non-hate | non-hate [END]
他们 | 都这么让着他们了还不愿意？ | non-hate | non-hate [END]
女性 | 工资上缴 | non-hate | non-hate [END]
啥省份的 | 都有 | non-hate | non-hate [END]
黑人 | 不老实，脸皮厚 | Racism | hate [END]
安徽池州 | 从五线变四线 | non-hate | non-hate [END]
拳师 | 我吐了 | Sexism | hate [END]
男同 | 男生对男同首先是有生理反感，其次才是歧视 | LGBTQ | hate [SEP] 女同 | 男生对女同没有生理反感，所以才会更喜欢女同 | LGBTQ | hate [END]
河南 | 去掉 | non-hate | non-hate [END]
女同桌 | 暗恋我 | non-hate | non-hate [END]
南非 | 社会问题极为严重的发展中国家 | non-hate | non-hate [END]
这次的俄乌战争 | 提供的案例真是太多了 | non-hate | non-hate [END]
女性和幕刃 | 两种生物 | non-hate | non-hate [END]
人家 | 生意 | non-hate | non-hate [SEP] 这个 | 免费 | non-hate | non-hate [END]
极端女权 | 极端男拳 | Sexism | hate [END]
你 | 看你这么卖力气 | non-hate | non-hate [END]
国男 | 尽国男之物力，结女友只欢心 | Sexism | hate [END]
同性恋 | 都这么叼吗？ | LGBTQ | hate [END]
女权 | 恼羞成怒 | Sexism | hate [END]
越南 | 人家能到越南做生意，说明有路子 | non-hate | non-hate [END]
龟男 | 可怕 | Sexism | hate [SEP] 她男闺蜜这种龟男 | 毫不值得同情 | Sexism | hate [END]
女人 | 不要脸 | Sexism | hate [END]
隔壁摆摊收豆子 | 没出现过男性 | Sexism | hate [END]
我们 | 家暴男 | Sexism | hate [END]
美国 | 有种族歧视 | Region | hate [SEP] 中国 | 有地域歧视很正常 | Region | hate [END]
昭和时期的日本人 | 一刀刺过去 | Region | hate [END]
被骗去非洲的国女 | 以国女那爱炫耀爱攀比的人物性格，早就回来装逼了 | Sexism, Racism | hate [END]
小孩 | 贫血 | non-hate | non-hate [END]
女人 | 最好的年代 | Sexism | hate [SEP] 女拳 | 不知道女拳哪里不满>_< | Sexism | hate [END]
假和尚 | 在河南才多🤣🤣🤣🤣 | Region | hate [END]
混血儿 | 过去不是叫杂种么 | Racism | hate [END]
这鸡汤 | 好喝 | non-hate | non-hate [END]
回民和东北人 | 会被黑 | Region | hate [END]
上海人 | 地域歧视严重吗 | Region | hate [END]
黑人 | 赶走 | Racism | hate [END]
嘿 | 反嘿文章 | Racism | hate [END]
日韩越的 | 还能接受 | non-hate | non-hate [END]
女性 | 存在的一种视觉进化 | non-hate | non-hate [END]
这种nt发言 | 一度让我怀疑是友军反串 | non-hate | non-hate [END]
同 | 疯狂的爱上你 | LGBTQ | hate [END]
这 | 比批判严重多了 | non-hate | non-hate [END]
如此双标的话 | 不是÷生真说不出口 | non-hate | non-hate [END]
丑男 | 一堆丑男 | LGBTQ | hate [END]
新疆切糕 | 把新疆人名声败坏了吧 | Region | hate [END]
我们同性恋 | 太正确了 | LGBTQ | hate [END]
沪黑 | 渺小 | Region, Racism | hate [END]
黑同 | 棒垃圾当宝贝 | LGBTQ, Racism | hate [END]
籹犬分子 | 一脚踢爆 | Sexism | hate [END]
当地黑人 | 威胁 | Racism | hate [END]
我 | 这辈子没这么无语过😓😓😓 | non-hate | non-hate [END]
女权 | 已经疯了 | Sexism | hate [END]
同性恋 | 恶心 | LGBTQ | hate [END]
我对象 | 沈阳的 | non-hate | non-hate [END]
吴施蒙 | 出来一堆色情网站 | non-hate | non-hate [END]
黄种人 | 硬度最高 | Racism | hate [SEP] 黑皮白皮 | 大不大 | Racism | hate [SEP] 中国男人 | 在非洲到处玩女人 | Sexism, Racism | hate [SEP] 黄男白女 | 离婚率最低 | Sexism, Racism | hate [END]
黑 | 坏人一个 | Racism | hate [END]
你 | 倒是挺会装的 | non-hate | non-hate [END]
异性恋 | 敢组织love don't is love活动吗 | non-hate | non-hate [END]
龟男 | 必须抵制 | Sexism | hate [END]
甘肃人 | 一辈子洗三次澡，出生结婚死亡 | Region | hate [END]
rush | 增加kuai感的 | non-hate | non-hate [END]
它们 | 打到弹尽粮绝 | non-hate | non-hate [END]
这货 | 下海吧 | non-hate | non-hate [END]
南满 | 黑河南、黑北方的 | Region | hate [END]
这司机 | 长得还行啊 | non-hate | non-hate [END]
你们的主子 | chinese women's pussy smells like dead fish | Sexism, Racism | hate [SEP] 你们 | dead fish girl | Sexism, Racism | hate [END]
普信女 | 教课书一样 | Sexism | hate [END]
嫁黑人的我 | 歧视 | Sexism, Racism | hate [END]
吧 | 没落了 | non-hate | non-hate [END]
性病艾滋病 | 我怕性病艾滋病🤔 | others | hate [END]
你 | 现在为什么住南昌呢？ | non-hate | non-hate [END]
他们 | 活该 | Racism | hate [END]
我 | 天生的改不了 | non-hate | non-hate [END]
你 | 这么自信别匿名啊 | non-hate | non-hate [END]
黑人 | 有良心吗？ | Racism | hate [END]
Gay | 还会挑？ | LGBTQ | hate [END]
黑人 | 歧视 | Racism | hate [END]
四川 | 经常被黑 | Region | hate [END]
她 | 看看她有没有微博，小红书，豆瓣 | non-hate | non-hate [END]
黑人 | 十二生肖里没黑人 | Racism | hate [END]
你们 | 被时代洪流眷顾了就好好感恩就行 | non-hate | non-hate [END]
舍得给女孩子花钱的 | 不一定爱 | non-hate | non-hate [SEP] 舍不得花钱的 | 肯定不爱 | non-hate | non-hate [END]
这种想和黑人在一起的女性 甚至生下z种的人 | 正常中国男人谁会去看 | Sexism, Racism | hate [END]
娘炮 | 娘炮 | Sexism | hate [SEP] 女拳 | 娘炮 | Sexism | hate [END]
答主 | 不必为这个生气 | non-hate | non-hate [END]
炫耀找黑媳妇的 | 没见过什么世面 | Sexism, Racism | hate [END]
基佬 | 不搞女人的渣男 | LGBTQ | hate [END]
男同 | 属于后者 | LGBTQ | hate [END]
我 | 不管睡没睡过我都不会要 | non-hate | non-hate [END]
竖切社会 | 很扯淡 | non-hate | non-hate [END]
这女的 | 绝对不无辜 | non-hate | non-hate [END]
女拳 | 伞兵 | Sexism | hate [END]
txl和yxl | 都进来看看 | non-hate | non-hate [END]
学长 | 也打拳 | non-hate | non-hate [END]
女⭕️师和泥鸽 | 导致艾资也不少 | Sexism, Racism, others | hate [END]
垃圾小仙女 | 不配活着 | Sexism | hate [END]
女拳 | 没有逻辑的动物 | Sexism | hate [END]
抠脚大汉 | 搞反串🤣 | Sexism | hate [END]
黑娃 | 等中国遍地都是黑娃的时候就没你什么事儿了 | Racism | hate [END]
你们异性恋 | 为什么来同性恋吧发反对同性恋的东西 | LGBTQ | hate [END]
外网 | 有动作片 | non-hate | non-hate [SEP] 有病 | HIV HPV | non-hate | non-hate [END]
你 | 真不挑食 | non-hate | non-hate [END]
幕刃 | 求个中外哲学家评论幕刃的图 | non-hate | non-hate [END]
